,Company,Compound,Date,Negative,Neutral,Positive,Tweets Ago
164,@CBS,-0.296,Thu Sep 06 22:10:49 +0000 2018,0.879,0.121,0.0,65
165,@CBS,0.4753,Thu Sep 06 19:00:01 +0000 2018,0.808,0.0,0.192,66
166,@CBS,0.0,Wed Sep 05 21:00:00 +0000 2018,1.0,0.0,0.0,67
167,@CBS,0.3612,Wed Sep 05 17:32:40 +0000 2018,0.889,0.0,0.111,68
168,@CBS,0.6908,Wed Sep 05 16:48:09 +0000 2018,0.467,0.0,0.533,69
169,@CBS,0.4215,Tue Sep 04 20:34:26 +0000 2018,0.865,0.0,0.135,70
170,@CBS,0.6514,Sat Sep 01 15:25:34 +0000 2018,0.829,0.0,0.171,71
171,@CBS,0.0,Fri Aug 31 21:26:49 +0000 2018,1.0,0.0,0.0,72
172,@CBS,0.0,Fri Aug 31 18:01:01 +0000 2018,1.0,0.0,0.0,73
173,@CBS,-0.6908,Thu Aug 30 19:45:51 +0000 2018,0.761,0.239,0.0,74
174,@CBS,0.6239,Thu Aug 30 15:32:47 +0000 2018,0.83,0.0,0.17,75
175,@CBS,0.0,Mon Aug 27 23:36:57 +0000 2018,1.0,0.0,0.0,76
176,@CBS,-0.4389,Fri Aug 24 20:30:16 +0000 2018,0.888,0.112,0.0,77
177,@CBS,0.0,Wed Aug 22 20:55:25 +0000 2018,1.0,0.0,0.0,78
178,@CBS,0.0,Wed Aug 22 20:10:12 +0000 2018,1.0,0.0,0.0,79
179,@CBS,0.5423,Mon Aug 20 21:59:56 +0000 2018,0.829,0.0,0.171,80
180,@CBS,0.3182,Fri Aug 17 17:42:02 +0000 2018,0.887,0.0,0.113,81
181,@CBS,0.0,Thu Aug 16 18:40:09 +0000 2018,1.0,0.0,0.0,82
182,@CBS,-0.5267,Thu Aug 16 00:09:03 +0000 2018,0.72,0.188,0.092,83
183,@CBS,0.0,Sun Aug 12 23:30:02 +0000 2018,1.0,0.0,0.0,84
184,@CBS,0.4389,Sun Aug 12 15:04:59 +0000 2018,0.874,0.0,0.126,85
185,@CBS,-0.3182,Sat Aug 11 18:00:00 +0000 2018,0.897,0.103,0.0,86
186,@CBS,0.4926,Sat Aug 11 15:00:02 +0000 2018,0.856,0.0,0.144,87
187,@CBS,0.8957,Fri Aug 10 22:28:55 +0000 2018,0.581,0.0,0.419,88
188,@CBS,0.0,Fri Aug 10 19:59:14 +0000 2018,1.0,0.0,0.0,89
189,@CBS,0.6696,Thu Aug 09 21:00:00 +0000 2018,0.745,0.0,0.255,90
190,@CBS,0.7901,Thu Aug 09 18:47:00 +0000 2018,0.72,0.0,0.28,91
191,@CBS,0.6696,Wed Aug 08 16:05:11 +0000 2018,0.791,0.0,0.209,92
192,@CBS,0.0,Tue Aug 07 16:06:57 +0000 2018,1.0,0.0,0.0,93
193,@CBS,0.3612,Mon Aug 06 00:20:55 +0000 2018,0.889,0.0,0.111,94
194,@CBS,0.7424,Mon Aug 06 00:07:38 +0000 2018,0.617,0.082,0.3,95
195,@CBS,0.3818,Mon Aug 06 00:02:58 +0000 2018,0.894,0.0,0.106,96
196,@CBS,0.5093,Mon Aug 06 00:02:02 +0000 2018,0.859,0.0,0.141,97
197,@CBS,0.0,Sun Aug 05 23:58:41 +0000 2018,1.0,0.0,0.0,98
198,@CBS,0.8316,Sun Aug 05 23:44:39 +0000 2018,0.694,0.0,0.306,99
199,@CBS,0.0,Sun Aug 05 23:41:21 +0000 2018,1.0,0.0,0.0,100
200,@CNN,0.0,Fri Oct 05 05:16:54 +0000 2018,1.0,0.0,0.0,1
201,@CNN,0.3595,Fri Oct 05 05:16:00 +0000 2018,0.83,0.0,0.17,2
202,@CNN,0.34,Fri Oct 05 05:01:03 +0000 2018,0.855,0.0,0.145,3
203,@CNN,0.5994,Fri Oct 05 04:46:00 +0000 2018,0.804,0.0,0.196,4
204,@CNN,-0.34,Fri Oct 05 04:36:01 +0000 2018,0.648,0.231,0.12,5
205,@CNN,-0.4588,Fri Oct 05 04:31:04 +0000 2018,0.842,0.158,0.0,6
206,@CNN,-0.296,Fri Oct 05 04:21:52 +0000 2018,0.885,0.115,0.0,7
207,@CNN,0.0,Fri Oct 05 04:16:00 +0000 2018,1.0,0.0,0.0,8
208,@CNN,0.0,Fri Oct 05 04:01:06 +0000 2018,1.0,0.0,0.0,9
209,@CNN,0.0,Fri Oct 05 03:46:02 +0000 2018,1.0,0.0,0.0,10
210,@CNN,-0.296,Fri Oct 05 03:31:06 +0000 2018,0.568,0.25,0.182,11
211,@CNN,0.5574,Fri Oct 05 03:16:59 +0000 2018,0.833,0.0,0.167,12
212,@CNN,0.0,Fri Oct 05 03:16:04 +0000 2018,1.0,0.0,0.0,13
213,@CNN,0.1779,Fri Oct 05 03:15:22 +0000 2018,0.608,0.163,0.228,14
214,@CNN,0.7906,Fri Oct 05 03:06:21 +0000 2018,0.708,0.0,0.292,15
215,@CNN,0.0,Fri Oct 05 03:04:09 +0000 2018,1.0,0.0,0.0,16
216,@CNN,0.0,Fri Oct 05 03:01:40 +0000 2018,1.0,0.0,0.0,17
217,@CNN,0.4404,Fri Oct 05 03:01:07 +0000 2018,0.873,0.0,0.127,18
218,@CNN,-0.4588,Fri Oct 05 02:53:33 +0000 2018,0.857,0.143,0.0,19
219,@CNN,0.4173,Fri Oct 05 02:51:05 +0000 2018,0.824,0.0,0.176,20
220,@CNN,-0.2263,Fri Oct 05 02:46:24 +0000 2018,0.909,0.091,0.0,21
221,@CNN,0.0,Fri Oct 05 02:46:05 +0000 2018,1.0,0.0,0.0,22
222,@CNN,0.0258,Fri Oct 05 02:41:05 +0000 2018,0.932,0.0,0.068,23
223,@CNN,-0.3818,Fri Oct 05 02:35:50 +0000 2018,0.809,0.191,0.0,24
224,@CNN,0.0,Fri Oct 05 02:33:17 +0000 2018,1.0,0.0,0.0,25
225,@CNN,-0.3612,Fri Oct 05 02:31:17 +0000 2018,0.865,0.135,0.0,26
226,@CNN,-0.2732,Fri Oct 05 02:29:38 +0000 2018,0.775,0.133,0.092,27
227,@CNN,0.128,Fri Oct 05 02:17:32 +0000 2018,0.792,0.094,0.113,28
228,@CNN,0.0,Fri Oct 05 02:17:09 +0000 2018,1.0,0.0,0.0,29
229,@CNN,-0.0258,Fri Oct 05 02:09:30 +0000 2018,0.621,0.22,0.158,30
230,@CNN,0.25,Fri Oct 05 02:01:08 +0000 2018,0.905,0.0,0.095,31
231,@CNN,0.0,Fri Oct 05 01:51:53 +0000 2018,1.0,0.0,0.0,32
232,@CNN,-0.4019,Fri Oct 05 01:49:05 +0000 2018,0.675,0.219,0.105,33
233,@CNN,-0.6447,Fri Oct 05 01:43:20 +0000 2018,0.792,0.208,0.0,34
234,@CNN,0.7096,Fri Oct 05 01:43:08 +0000 2018,0.763,0.0,0.237,35
235,@CNN,0.0,Fri Oct 05 01:36:05 +0000 2018,1.0,0.0,0.0,36
236,@CNN,-0.2023,Fri Oct 05 01:31:03 +0000 2018,0.886,0.114,0.0,37
237,@CNN,0.5574,Fri Oct 05 01:23:30 +0000 2018,0.854,0.0,0.146,38
238,@CNN,0.0,Fri Oct 05 01:21:06 +0000 2018,1.0,0.0,0.0,39
239,@CNN,0.2263,Fri Oct 05 01:17:56 +0000 2018,0.927,0.0,0.073,40
240,@CNN,-0.296,Fri Oct 05 01:17:48 +0000 2018,0.901,0.099,0.0,41
241,@CNN,0.0,Fri Oct 05 01:16:00 +0000 2018,1.0,0.0,0.0,42
242,@CNN,-0.5574,Fri Oct 05 01:08:28 +0000 2018,0.85,0.15,0.0,43
243,@CNN,0.296,Fri Oct 05 01:02:54 +0000 2018,0.862,0.0,0.138,44
244,@CNN,0.0772,Fri Oct 05 01:01:04 +0000 2018,0.929,0.0,0.071,45
245,@CNN,0.0,Fri Oct 05 00:52:21 +0000 2018,1.0,0.0,0.0,46
246,@CNN,-0.3612,Fri Oct 05 00:48:49 +0000 2018,0.839,0.161,0.0,47
247,@CNN,0.0,Fri Oct 05 00:44:55 +0000 2018,1.0,0.0,0.0,48
248,@CNN,0.0,Fri Oct 05 00:32:29 +0000 2018,1.0,0.0,0.0,49
249,@CNN,0.2732,Fri Oct 05 00:31:06 +0000 2018,0.909,0.0,0.091,50
250,@CNN,0.0,Fri Oct 05 00:29:44 +0000 2018,1.0,0.0,0.0,51
251,@CNN,-0.25,Fri Oct 05 00:27:55 +0000 2018,0.895,0.105,0.0,52
252,@CNN,-0.8271,Fri Oct 05 00:22:05 +0000 2018,0.648,0.352,0.0,53
253,@CNN,0.0,Fri Oct 05 00:18:56 +0000 2018,1.0,0.0,0.0,54
254,@CNN,0.3595,Fri Oct 05 00:16:00 +0000 2018,0.83,0.0,0.17,55
255,@CNN,0.6705,Fri Oct 05 00:09:17 +0000 2018,0.766,0.0,0.234,56
256,@CNN,0.1531,Fri Oct 05 00:08:45 +0000 2018,0.708,0.133,0.159,57
257,@CNN,-0.4019,Fri Oct 05 00:08:02 +0000 2018,0.844,0.156,0.0,58
258,@CNN,0.0,Fri Oct 05 00:06:49 +0000 2018,1.0,0.0,0.0,59
259,@CNN,-0.34,Fri Oct 05 00:06:04 +0000 2018,0.862,0.138,0.0,60
260,@CNN,0.0,Fri Oct 05 00:01:05 +0000 2018,1.0,0.0,0.0,61
261,@CNN,-0.4588,Thu Oct 04 23:57:06 +0000 2018,0.875,0.125,0.0,62
262,@CNN,0.5994,Thu Oct 04 23:46:00 +0000 2018,0.804,0.0,0.196,63
263,@CNN,0.4019,Thu Oct 04 23:40:41 +0000 2018,0.828,0.0,0.172,64
264,@CNN,0.4404,Thu Oct 04 23:34:42 +0000 2018,0.818,0.0,0.182,65
265,@CNN,0.34,Thu Oct 04 23:32:17 +0000 2018,0.756,0.092,0.151,66
266,@CNN,0.0,Thu Oct 04 23:23:03 +0000 2018,1.0,0.0,0.0,67
267,@CNN,0.4019,Thu Oct 04 23:17:53 +0000 2018,0.886,0.0,0.114,68
268,@CNN,0.7906,Thu Oct 04 23:14:07 +0000 2018,0.708,0.0,0.292,69
269,@CNN,0.0,Thu Oct 04 23:01:04 +0000 2018,1.0,0.0,0.0,70
270,@CNN,0.5574,Thu Oct 04 22:51:03 +0000 2018,0.795,0.0,0.205,71
271,@CNN,-0.6124,Thu Oct 04 22:45:56 +0000 2018,0.773,0.227,0.0,72
272,@CNN,0.0,Thu Oct 04 22:41:05 +0000 2018,1.0,0.0,0.0,73
273,@CNN,0.25,Thu Oct 04 22:31:06 +0000 2018,0.9,0.0,0.1,74
